yf_ticker,name,index,exchange
NOVO B.CO,Novo Nordisk,OMXC25,Nasdaq Copenhagen
NSIS B.CO,Novonesis,OMXC25,Nasdaq Copenhagen
NTGY.MC,Naturgy,IBEX35,BME Madrid
NVG.LS,The Navigator Company,PSI20,Euronext Lisbon
OR.PA,L'Oréal,CAC40,Euronext Paris
ORA.PA,Orange,CAC40,Euronext Paris
ORNBV.HE,Orion,OMXH25,Nasdaq Helsinki
ORSTED.CO,Ørsted,OMXC25,Nasdaq Copenhagen
OSE: AKRBP.OL,Aker BP,OBX25,Oslo Bors
OSE: BWLPG.OL,BW LPG,OBX25,Oslo Bors
OSE: DNB.OL,DNB Bank,OBX25,Oslo Bors
OSE: EQNR.OL,Equinor,OBX25,Oslo Bors
OSE: FRO.OL,Frontline,OBX25,Oslo Bors
OSE: GJF.OL,Gjensidige Forsikring,OBX25,Oslo Bors
OSE: GOGL.OL,Golden Ocean Group,OBX25,Oslo Bors
OSE: HAFNI.OL,Hafnia Limited,OBX25,Oslo Bors
OSE: HAUTO.OL,Höegh Autoliners ASA,OBX25,Oslo Bors
OSE: KOG.OL,Kongsberg Gruppen,OBX25,Oslo Bors
OSE: MOWI.OL,Mowi,OBX25,Oslo Bors
OSE: MPCC.OL,MPC Container Ships,OBX25,Oslo Bors
OSE: NAS.OL,Norwegian Air Shuttle,OBX25,Oslo Bors
OSE: NHY.OL,Norsk Hydro,OBX25,Oslo Bors
OSE: NOD.OL,Nordic Semiconductor,OBX25,Oslo Bors
OSE: ORK.OL,Orkla,OBX25,Oslo Bors
OSE: SALM.OL,SalMar,OBX25,Oslo Bors
OSE: STB.OL,Storebrand,OBX25,Oslo Bors
OSE: SUBC.OL,Subsea 7,OBX25,Oslo Bors
OSE: TEL.OL,Telenor,OBX25,Oslo Bors
OSE: TGS.OL,TGS ASA,OBX25,Oslo Bors
OSE: TOM.OL,Tomra Systems,OBX25,Oslo Bors
OSE: VAR.OL,Vår Energi ASA,OBX25,Oslo Bors
OSE: WAWI.OL,Wallenius Wilhelmsen,OBX25,Oslo Bors
OSE: YAR.OL,Yara International,OBX25,Oslo Bors
OUT1V.HE,Outokumpu,OMXH25,Nasdaq Helsinki
PGHN.SW,Partners Group Holding AG,SMI20,SIX Swiss
PHIA.AS,Philips,AEX25,Euronext Amsterdam
PHR.LS,Pharol,PSI20,Euronext Lisbon
PNDORA.CO,Pandora,OMXC25,Nasdaq Copenhagen
PRX.AS,Prosus,AEX25,Euronext Amsterdam
PRY.MI,Prysmian,FTSEMIB,Borsa Italiana
PST.MI,Poste italiane,FTSEMIB,Borsa Italiana
PUB.PA,Publicis,CAC40,Euronext Paris
PUIG.MC,Puig,IBEX35,BME Madrid
QTCOM.HE,Qt Group,OMXH25,Nasdaq Helsinki
RACE.MI,Ferrari,FTSEMIB,Borsa Italiana
RAND.AS,Randstad,AEX25,Euronext Amsterdam
RBREW.CO,Royal Unibrew,OMXC25,Nasdaq Copenhagen
REC.MI,Recordati,FTSEMIB,Borsa Italiana
RED.MC,Redeia Corporación,IBEX35,BME Madrid
REN.AS,RELX,AEX25,Euronext Amsterdam
RENE.LS,Redes Energéticas Nacionais,PSI20,Euronext Lisbon
REP.MC,Repsol,IBEX35,BME Madrid
RI.PA,Pernod Ricard,CAC40,Euronext Paris
RMS.PA,Hermès,CAC40,Euronext Paris
RNO.PA,Renault,CAC40,Euronext Paris
ROCK B.CO,Rockwool International,OMXC25,Nasdaq Copenhagen
ROG.SW,Roche Holding AG,SMI20,SIX Swiss
ROVI.MC,Laboratorios Rovi [es],IBEX35,BME Madrid
SAAB-B.ST,Saab B,OMXS30,Nasdaq Stockholm
SAB.MC,Banco Sabadell,IBEX35,BME Madrid
SAF.PA,Safran,CAC40,Euronext Paris
SAMPO.HE,Sampo A,OMXH25,Nasdaq Helsinki
SAN.MC,Santander,IBEX35,BME Madrid
SAN.PA,Sanofi,CAC40,Euronext Paris
SAND.ST,Sandvik,OMXS30,Nasdaq Stockholm
SCA-B.ST,SCA B,OMXS30,Nasdaq Stockholm
SCMN.SW,Swisscom AG,SMI20,SIX Swiss
SCYR.MC,Sacyr,IBEX35,BME Madrid
SEB-A.ST,SEB A,OMXS30,Nasdaq Stockholm
SEM.LS,Semapa,PSI20,Euronext Lisbon
SGO.PA,Saint-Gobain,CAC40,Euronext Paris
SHB-A.ST,Handelsbanken A,OMXS30,Nasdaq Stockholm
SHELL.AS,Shell plc,AEX25,Euronext Amsterdam
SIKA.SW,Sika AG,SMI20,SIX Swiss
SKA-B.ST,Skanska B,OMXS30,Nasdaq Stockholm
SKF-B.ST,SKF B,OMXS30,Nasdaq Stockholm
SLHN.SW,Swiss Life Holding AG,SMI20,SIX Swiss
SLR.MC,Solaria,IBEX35,BME Madrid
SON.LS,Sonae,PSI20,Euronext Lisbon
SONC.LS,Sonae Capital,PSI20,Euronext Lisbon
SOON.SW,Sonova,SMI20,SIX Swiss
SPM.MI,Saipem,FTSEMIB,Borsa Italiana
SREN.SW,Swiss Reinsurance Company Ltd,SMI20,SIX Swiss
SRG.MI,Snam,FTSEMIB,Borsa Italiana
STERV.HE,Stora Enso R,OMXH25,Nasdaq Helsinki
STLAM.MI,Stellantis,FTSEMIB,Borsa Italiana
STLAP.PA,Stellantis,CAC40,Euronext Paris
STMMI.MI,STMicroelectronics,FTSEMIB,Borsa Italiana
STMPA.PA,STMicroelectronics,CAC40,Euronext Paris
SU.PA,Schneider Electric,CAC40,Euronext Paris
SWED-A.ST,Swedbank A,OMXS30,Nasdaq Stockholm
SYDB.CO,Sydbank,OMXC25,Nasdaq Copenhagen
TEF.MC,Telefónica,IBEX35,BME Madrid
TEL2-B.ST,Tele2 B,OMXS30,Nasdaq Stockholm
TELIA.ST,Telia Company,OMXS30,Nasdaq Stockholm
TEN.MI,Tenaris,FTSEMIB,Borsa Italiana
TEP.PA,Teleperformance,CAC40,Euronext Paris
TIETO.HE,TietoEVRY,OMXH25,Nasdaq Helsinki
TIT.MI,Telecom Italia,FTSEMIB,Borsa Italiana
TRN.MI,Terna,FTSEMIB,Borsa Italiana
TRYG.CO,Tryg,OMXC25,Nasdaq Copenhagen
TTE.PA,TotalEnergies,CAC40,Euronext Paris
TYRES.HE,Nokian Tyres,OMXH25,Nasdaq Helsinki
UBSG.SW,UBS Group AG,SMI20,SIX Swiss
UCG.MI,UniCredit,FTSEMIB,Borsa Italiana
UMG.AS,Universal Music Group,AEX25,Euronext Amsterdam
UNA.AS,Unilever,AEX25,Euronext Amsterdam
UNI.MC,Unicaja,IBEX35,BME Madrid
UNI.MI,Unipol,FTSEMIB,Borsa Italiana
UPM.HE,UPM-Kymmene,OMXH25,Nasdaq Helsinki
URW.PA,Unibail-Rodamco-Westfield,CAC40,Euronext Paris
VALMT.HE,Valmet,OMXH25,Nasdaq Helsinki
VIE.PA,Veolia,CAC40,Euronext Paris
VOLV-B.ST,Volvo B,OMXS30,Nasdaq Stockholm
VWS.CO,Vestas Wind Systems,OMXC25,Nasdaq Copenhagen
WKL.AS,Wolters Kluwer,AEX25,Euronext Amsterdam
WRT1V.HE,Wärtsilä,OMXH25,Nasdaq Helsinki
ZEAL.CO,Zealand Pharma,OMXC25,Nasdaq Copenhagen
ZURN.SW,Zurich Insurance Group AG,SMI20,SIX Swiss
