symbol,exchange,ticker,fetch_ts
RELIANCE,NSE,RELIANCE.NS,2026-06-04T03:42:35.546515
TCS,NSE,TCS.NS,2026-06-04T03:42:36.000800
HDFCBANK,NSE,HDFCBANK.NS,2026-06-04T03:42:36.377293
INFY,NSE,INFY.NS,2026-06-04T03:42:36.792686
HINDUNILVR,NSE,HINDUNILVR.NS,2026-06-04T03:42:37.138051
