symbol,name,index,yf_ticker
EZJ,EasyJet,FTSE250,EZJ.L
FAN,Volution Group,FTSE250,FAN.L
FAS,Fidelity Asian Values,FTSESmallCap,FAS.L
FCH,Funding Circle,FTSE250,FCH.L
FCIT,F & C Investment Trust,FTSE100,FCIT.L
FCSS,Fidelity China Special Situations,FTSE250,FCSS.L
FEML,Fidelity Emerging Markets,FTSE250,FEML.L
FEV,Fidelity European Trust,FTSE250,FEV.L
FGEN,Foresight Environmental Infrastructure,FTSE250,FGEN.L
FGP,FirstGroup,FTSE250,FGP.L
FGT,Finsbury Growth & Income Trust,FTSE250,FGT.L
FJV,Fidelity Japan Trust,FTSESmallCap,FJV.L
FORT,Forterra,FTSESmallCap,FORT.L
FOUR,4imprint,FTSE250,FOUR.L
FOXT,Foxtons,FTSESmallCap,FOXT.L
FRAS,Frasers Group,FTSE250,FRAS.L
FRES,Fresnillo plc,FTSE100,FRES.L
FSF,Foresight Sustainable Forestry Company,FTSESmallCap,FSF.L
FSG,Foresight Group,FTSE250,FSG.L
FSJ,James Fisher & Sons,FTSESmallCap,FSJ.L
FSTA,"Fuller, Smith & Turner",FTSESmallCap,FSTA.L
FSV,Fidelity Special Values,FTSE250,FSV.L
GAMA,Gamma Communications,FTSE250,GAMA.L
GAW,Games Workshop,FTSE100,GAW.L
GBG,GB Group,FTSE250,GBG.L
GCP,GCP Infrastructure Investments,FTSE250,GCP.L
GDWN,Goodwin,FTSE250,GDWN.L
GEN,Genuit Group,FTSE250,GEN.L
GFRD,Galliford Try,FTSE250,GFRD.L
GFTU,Grafton Group,FTSE250,GFTU.L
GLE,M J Gleeson,FTSESmallCap,GLE.L
GLEN,Glencore,FTSE100,GLEN.L
GMS,Gulf Marine Services,FTSESmallCap,GMS.L
GNC,Greencore,FTSE250,GNC.L
GNS,Genus,FTSE250,GNS.L
GPE,Great Portland Estates,FTSE250,GPE.L
GRG,Greggs,FTSE250,GRG.L
GRI,Grainger,FTSE250,GRI.L
GROW,Molten Ventures,FTSE250,GROW.L
GSCT,Global Smaller Companies Trust,FTSE250,GSCT.L
GSK,GSK plc,FTSE100,GSK.L
GYM,The Gym Group,FTSESmallCap,GYM.L
HAS,Hays,FTSE250,HAS.L
HBR,Harbour Energy,FTSE250,HBR.L
HEAD,Headlam Group,FTSESmallCap,HEAD.L
HFD,Halfords,FTSESmallCap,HFD.L
HFEL,Henderson Far East Income,FTSE250,HFEL.L
HFG,Hilton Food Group,FTSE250,HFG.L
HGT,Hg Capital Trust,FTSE250,HGT.L
HICL,HICL Infrastructure Company,FTSE250,HICL.L
HIK,Hikma Pharmaceuticals,FTSE250,HIK.L
HILS,Hill & Smith,FTSE250,HILS.L
HLCL,Helical,FTSESmallCap,HLCL.L
HLMA,Halma plc,FTSE100,HLMA.L
HLN,Haleon,FTSE100,HLN.L
HMSO,Hammerson,FTSE250,HMSO.L
HOC,Hochschild Mining,FTSE250,HOC.L
HRI,Herald Investment Trust,FTSE250,HRI.L
HSBA,HSBC,FTSE100,HSBA.L
HSL,Henderson Smaller Companies Investment Trust,FTSE250,HSL.L
HSW,Hostelworld Group,FTSESmallCap,HSW.L
HSX,Hiscox,FTSE100,HSX.L
HTG,Hunting,FTSE250,HTG.L
HTWS,Helios Towers,FTSE250,HTWS.L
HVPE,HarbourVest Global Private Equity,FTSE250,HVPE.L
HWDN,Howdens Joinery,FTSE100,HWDN.L
HWG,Harworth Group,FTSE250,HWG.L
IAD,Invesco Asia Dragon Trust,FTSE250,IAD.L
IAG,International Airlines Group,FTSE100,IAG.L
IBST,Ibstock,FTSE250,IBST.L
ICG,ICG,FTSE100,ICG.L
ICGT,ICG Enterprise Trust,FTSE250,ICGT.L
IEM,Impax Environmental Markets,FTSE250,IEM.L
IGG,IG Group,FTSE100,IGG.L
IHG,IHG Hotels & Resorts,FTSE100,IHG.L
IHP,IntegraFin Holdings,FTSE250,IHP.L
III,3i,FTSE100,III.L
IMB,Imperial Brands,FTSE100,IMB.L
IMI,IMI,FTSE100,IMI.L
INCH,Inchcape,FTSE250,INCH.L
INF,Informa,FTSE100,INF.L
INOV,Schroders Capital Global Innovation Trust,FTSESmallCap,INOV.L
INPP,International Public Partnerships,FTSE250,INPP.L
INVP,Investec,FTSE250,INVP.L
IPF,International Personal Finance,FTSE250,IPF.L
IPO,IP Group,FTSE250,IPO.L
ITH,Ithaca Energy,FTSE250,ITH.L
ITRK,Intertek,FTSE100,ITRK.L
ITV,ITV,FTSE250,ITV.L
IWG,International Workplace Group,FTSE250,IWG.L
JAM,JPMorgan American Investment Trust,FTSE250,JAM.L
JCH,JPMorgan Claverhouse Investment Trust,FTSE250,JCH.L
JD,JD Sports,FTSE100,JD.L
JDW,Wetherspoons,FTSE250,JDW.L
JEDT,JPMorgan European Discovery,FTSE250,JEDT.L
JEGI,JPMorgan European Growth & Income,FTSE250,JEGI.L
JEMI,JPMorgan Emerging Markets Dividend Income,FTSE250,JEMI.L
JFJ,JPMorgan Japanese Investment Trust,FTSE250,JFJ.L
JGGI,JPMorgan Global Growth & Income,FTSE250,JGGI.L
JIGI,JPMorgan India Growth & Income,FTSE250,JIGI.L
JMAT,Johnson Matthey,FTSE250,JMAT.L
JMGI,JPMorgan Emerging Markets Growth & Income,FTSE250,JMGI.L
JSG,Johnson Service Group,FTSE250,JSG.L
JTC,JTC,FTSE250,JTC.L
JUP,Jupiter Fund Management,FTSE250,JUP.L
JZCP,JZ Capital Partners,FTSESmallCap,JZCP.L
KGF,Kingfisher plc,FTSE100,KGF.L
KIE,Kier Group,FTSE250,KIE.L
KLR,Keller Group,FTSE250,KLR.L
KMR,Kenmare Resources,FTSESmallCap,KMR.L
KNOS,Kainos,FTSE250,KNOS.L
LAND,Land Securities,FTSE100,LAND.L
LGEN,Legal & General,FTSE100,LGEN.L
LIO,Liontrust Asset Management,FTSESmallCap,LIO.L
LLOY,Lloyds Banking Group,FTSE100,LLOY.L
LMP,LondonMetric Property,FTSE100,LMP.L
LRE,Lancashire Holdings,FTSE250,LRE.L
LSEG,London Stock Exchange Group,FTSE100,LSEG.L
LSL,LSL Property Services,FTSESmallCap,LSL.L
LTI,Lindsell Train,FTSESmallCap,LTI.L
LUCE,Luceco,FTSESmallCap,LUCE.L
LWDB,Law Debenture,FTSE250,LWDB.L
LWI,Lowland Investment Company,FTSESmallCap,LWI.L
MAB,Mitchells & Butlers,FTSE250,MAB.L
MACF,Macfarlane Group,FTSESmallCap,MACF.L
MAJE,Majedie Investments,FTSESmallCap,MAJE.L
MARS,Marston's,FTSESmallCap,MARS.L
MEGP,ME Group International,FTSE250,MEGP.L
MER,Mears Group,FTSESmallCap,MER.L
MGAM,Morgan Advanced Materials,FTSE250,MGAM.L
MGNS,Morgan Sindall Group,FTSE250,MGNS.L
MKS,Marks & Spencer,FTSE100,MKS.L
MMIT,Mobius Investment Trust,FTSESmallCap,MMIT.L
MNDI,Mondi,FTSE100,MNDI.L
MNG,M&G,FTSE100,MNG.L
MNKS,Monks Investment Trust,FTSE250,MNKS.L
MNTN,Schiehallion Fund,FTSE250,MNTN.L
MONY,MONY Group,FTSE250,MONY.L
MOON,Moonpig,FTSE250,MOON.L
MOTR,Motorpoint Group,FTSESmallCap,MOTR.L
MRC,Mercantile Investment Trust,FTSE250,MRC.L
MRCH,Merchants Trust,FTSE250,MRCH.L
