ticker,fy_end,cagr_3y,cagr_5y,cagr_7y,roce,growth_pass,roce_pass,pe,pb,dividend_yield,pb_x_pe,valuation_pass,dividend_pass,PASSES_CORRECTED_SCREEN,passes_buggy_growth_only
20MICRONS,2026-03-31,0.09590009078066997,0.18186822989050766,0.15806353499970816,0.17215276774100305,True,False,10.817942,1.4965142,0.0061000003,16.189203817776402,True,True,False,True
21STCENMGM,2026-03-31,,,0.33552491658626793,0.07325448302174742,True,False,,1.0517625,,,False,False,False,True
360ONE,2026-03-31,-0.23708706932728008,-0.007577784442048485,0.1264203101881194,0.060429538947051165,False,False,36.866234,4.4431067,0.0164,163.80061128916782,False,True,False,False
3BBLACKBIO,2026-03-31,0.20070134430300746,0.5752432886048704,1.0794518666845558,0.23445624313438299,True,False,,3.2257733,,,False,False,False,True
3IINFOLTD,2026-03-31,0.09500824754928527,0.25361242415719554,-0.2610630965816365,0.09372109372109372,True,False,9.967032,1.0175576,,10.1420291610432,True,False,False,True
3MINDIA,2026-03-31,-0.053811486889971505,0.18356008052140838,0.1559135096290296,0.4837865730945869,True,True,76.17549,22.626114,0.0045,1723.55532074586,False,True,False,True
3PLAND,2026-03-31,0.09746065510466595,0.14462491030360036,-0.11146311447948198,0.02132998745294856,False,False,,,,,False,False,False,False
500003,2026-03-31,0.5136430444486635,0.2020724517435577,0.8353010152039029,0.30800469574415934,True,True,,,,,False,False,False,True
500008,2026-03-31,0.035026729265415835,0.17376923754460316,0.06613820336522869,0.15791879064862016,True,False,,,,,False,False,False,True
500009,2026-03-31,1.0639016261635676,0.38811834999952777,-0.056204541565780475,0.14699205448354144,True,False,,,,,False,False,False,True
500012,2026-03-31,-0.4712015969487482,0.4616613155340823,0.05302670265283216,-0.021750599928519153,True,False,,,,,False,False,False,True
500013,2025-03-31,,,,0.10224646983311937,False,False,,,,,False,False,False,False
500014,2026-03-31,1.5461261988930666,-0.331259695023578,-0.07338306468207911,0.039215686274509796,True,False,,,,,False,False,False,True
500016,2026-03-31,,,,0.12289665508549628,False,False,,,,,False,False,False,False
500020,2026-03-31,-0.9049098793792147,0.731697049346623,-0.34179717179285507,0.019617472558102495,True,False,,,,,False,False,False,True
500023,2026-03-31,,,,-0.0552486187845304,False,False,,,,,False,False,False,False
500027,2026-03-31,0.24389974669039072,-0.005179770119278282,-0.012110262632997748,0.12594970325381613,True,False,,,,,False,False,False,True
500028,2026-03-31,0.052786366328390066,-0.027351864022129968,0.19570622338669463,0.02861150070126227,False,False,,,,,False,False,False,False
500031,2026-03-31,-0.21468832239151114,-0.07676254944464178,-0.03679126894137408,-0.011847887219485664,False,False,,,,,False,False,False,False
500032,2026-03-31,,,,0.02249244964023343,False,False,,,,,False,False,False,False
500038,2026-03-31,-0.10473185930514695,-0.09370187965641896,-0.061844810519400495,0.08508589722350836,False,False,,,,,False,False,False,False
500039,2026-03-31,0.2809503338486994,0.4870214524655079,0.3489041472100467,0.36596712137110876,True,True,,,,,False,False,False,True
500048,2026-03-31,-0.2780827041770375,0.02316295326009854,0.13669466231666938,0.07598064353712321,False,False,,,,,False,False,False,False
500051,2026-03-31,-0.5248090366885085,-0.1437617650847639,,0.0018917237087741133,False,False,,,,,False,False,False,False
500052,2026-03-31,0.0020565288653497937,-0.1522749953377247,0.1800935169707263,0.22190720789833562,False,False,,,,,False,False,False,False
500058,2026-03-31,0.23349316023401046,0.0816462011286907,,,True,False,,,,,False,False,False,True
500059,2026-03-31,,,,,False,False,,,,,False,False,False,False
500060,2026-03-31,-0.13391042003971387,-0.0614360140123863,0.5961945310299352,0.08428240517324583,True,False,,,,,False,False,False,True
500067,2026-03-31,0.023665549123631058,0.3176851503989637,0.21304198532075413,0.15037486270951722,True,False,,,,,False,False,False,True
500068,2026-03-31,0.1393094395453207,0.09547762321171871,0.11172817779954314,0.275504016977414,True,True,,,,,False,False,False,True
500069,2026-03-31,0.08062108783970667,0.016950493928536536,0.1787916629795987,,False,False,,,,,False,False,False,False
500074,2026-03-31,-0.7322719258682018,0.37642783950949976,-0.12759766756583102,-0.015531350852927617,True,False,,,,,False,False,False,True
500083,2026-03-31,0.21345919646130262,0.15472977907714092,0.19858126211009908,0.178157749586321,True,False,,,,,False,False,False,True
500093,2026-03-31,0.1450169265114336,0.2037908304229301,0.9330501103331377,0.2135619273550308,True,False,,,,,False,False,False,True
500096,2026-03-31,-0.0060112694213363405,0.010001235469436098,0.04119675514655641,0.24366419755513719,False,False,,,,,False,False,False,False
500097,2026-03-31,-0.06576590993153109,-0.052739106435336525,0.030996438045240993,0.07708947451855448,False,False,,,,,False,False,False,False
500101,2026-03-31,-0.012093460428481029,0.49669605141518813,0.09632209724456264,0.12203290606726887,True,False,,,,,False,False,False,True
500103,2026-03-31,1.4640631522829466,0.4004377484798092,-0.13310752100080303,0.08939488419591833,True,False,,,,,False,False,False,True
500104,2026-03-31,0.08114457962350974,0.28078349720786266,0.36654814078887865,0.2316025044306443,True,False,,,,,False,False,False,True
500106,2026-03-31,-0.3650221412587539,,-0.19416761430762575,,False,False,,,,,False,False,False,False
500108,2026-03-31,,,,,False,False,,,,,False,False,False,False
500109,2026-03-31,-0.2671591718110097,-0.10089865712887958,-0.2691714387570565,0.16703074674937374,False,False,,,,,False,False,False,False
500114,2026-03-31,0.1429931795850219,0.20720527469420458,0.20438656338288919,0.16445190362332168,True,False,,,,,False,False,False,True
500135,2026-03-31,0.2933355943944853,0.13708792566950478,0.186309980440728,0.1881897158957502,True,False,,,,,False,False,False,True
505196,2026-03-31,-0.5272775778707404,,-0.30943255762982846,0.01357484399059892,False,False,,,,,False,False,False,False
5PAISA,2026-03-31,-0.07754886083512447,0.3131078592929737,,0.08914751293120211,True,False,27.20099,1.8519946,,50.376086594654005,False,False,False,True
63MOONS,2026-03-31,-0.19454168737241406,3.190396511241058,1.0108472245919193,0.06320209490828205,True,False,,0.89579153,0.0017,,False,True,False,True
A2ZINFRA,2026-03-31,,,,-0.0097323600973236,False,False,53.2,4.93873,,262.740436,False,False,False,False
AAATECH,2026-03-31,-0.19891039933937205,-0.0313590153703982,-0.09258321366117184,0.4055172413793103,False,True,58.546585,3.9383304,0.015800001,230.575795521684,False,True,False,False
AADHARHFC,2026-03-31,0.29744708634471406,0.4099708715394934,,0.10572417244071515,True,False,21.07711,2.9848502,,62.912015998922,False,False,False,True
AAKASH,2026-03-31,-0.24926230589758203,-0.13038072843483672,-0.052591855684830935,0.078308353665621,False,False,26.000002,1.4095416,,36.6480844190832,False,False,False,False
AAREYDRUGS,2026-03-31,-0.07897307406862508,-0.11765729033745165,-0.060957336855797295,0.05200119772432379,False,False,54.978416,1.4455688,,79.4750828430208,False,False,False,False
ADANIPOWER,2026-03-31,-0.251880311947029,0.21533957920944324,,0.1731617265403577,True,False,32.684765,6.4351263,,210.3305908608195,False,False,False,True
ADFFOODS,2026-03-31,0.10464523032599415,0.23711013531925973,0.2067390275851333,0.22089488120022469,True,False,37.06349,5.8275256,0.0038,215.98843680034403,False,True,False,True
ADL,2026-03-31,-0.6535898384862245,,,0.03943932939398104,False,False,inf,0.67247325,,inf,False,False,False,False
ADOR,2026-03-31,-0.03735116413224815,0.16454482961313155,0.2159298922559323,0.2027274972654458,True,False,28.830647,4.263994,0.0224,122.93370582411801,False,True,False,True
ADROITINFO,2026-03-31,-0.7914855859429253,-0.2528898213800981,0.007399450799308038,0.006628689798032108,False,False,17.307693,0.6528836,,11.2999089135348,True,False,False,False
ADSL,2026-03-31,0.9752421933322148,0.08403842311331666,0.01819018390625904,0.009071477859871753,True,False,19.3792,1.1185402,0.024400001,21.67641424384,True,True,False,True
ADVAIT,2026-03-31,0.47235821891303,0.5958132764608364,0.4805584280786619,0.21675056950811372,True,False,44.546795,8.293244,,369.43744035298,False,False,False,True
ADVANCE,2026-03-31,,,,0.2602811950790861,False,True,17.784615,2.650464,,47.13748181136,False,False,False,False
ADVANIHOTR,2026-03-31,-0.02228353436208963,0.3836376234062353,0.13332727686041856,0.06115357887421821,True,False,20.228682,0.93418294,0.0515,18.89728962308508,True,True,False,True
ADVENZYMES,2026-03-31,0.10413241872350243,0.2470045683481592,0.14675329639514656,0.22229404986087298,True,False,21.648972,2.2375622,0.0078,48.4409214160584,False,True,False,True
AEGISLOG,2026-03-31,0.5136430444486635,0.2020724517435577,0.8353010152039029,0.30800469574415934,True,True,46.360012,7.4208922,0.011,344.03265144270637,False,True,False,True
AEGISVOPAK,2026-03-31,,,,0.055206762047499934,False,False,93.52431,6.95043,0.0007,650.0341699533,False,True,False,False
AEPL,2026-03-31,0.47002571737915444,1.63300442687266,-0.055623407749307185,0.12437095614665711,True,False,46.114285,4.345719,,200.399724495915,False,False,False,True
AEQUS,2026-03-31,,,,,False,False,,9.515978,,,False,False,False,False
AEROENTER,2026-03-31,-0.7810435415048499,0.2162875015518504,0.6157120742801474,0.030667616750712556,True,False,21.05634,1.6395465,0.0025,34.52284854981,False,True,False,True
AEROFLEX,2026-03-31,0.31180115915755646,0.7135339625581358,0.3937632743957007,0.20455474452554745,True,False,95.80797,12.103551,0.001,1159.6166511014699,False,True,False,True
HDFCBANK,2026-03-31,0.10810568718834301,0.19220634224212874,0.19028385497067868,,True,False,17.909473,2.1251726,0.0161,38.060721300039795,False,True,False,True
ICICIBANK,2026-03-31,0.10744343169450632,0.2107030020900249,0.35983865474790155,,True,False,18.857714,2.7973158,0.0085,52.7509813240812,False,True,False,True
INFY,2026-03-31,0.03566069838373753,0.08298773910802448,0.11088370479597875,0.4604421965659454,False,True,14.559634,4.7288537,0.045700002,68.8503791115458,False,True,False,False
ITC,2026-03-31,-0.0033242551157796063,0.07735977331010258,0.050022994546515154,0.37227309927730223,False,True,16.852747,4.8255544,0.0581,81.3238474379368,False,True,False,False
RELIANCE,2026-03-31,0.021287618730031044,0.029188972641993827,0.06005844440405106,0.07620185368694259,False,False,21.697577,1.9435817,0.0046,42.1710135915409,False,True,False,False
TCS,2026-03-31,0.06165669947606589,0.06483579628550817,0.06705624259064913,0.6798893970009572,False,True,16.103193,7.2716107,0.0295,117.0961505229651,False,True,False,False
WIPRO,2026-03-31,0.15334478713559596,-0.000117446710581115,0.05734152507463519,0.23689696206270955,True,False,14.353796,2.1027095,0.096,30.181863210262,False,True,False,True
