symbol,screener,peak_horizon,hit_rate_pct,ltp,pred_excess_return_pct,ci_lo,ci_hi,predicted_price
HOVVB,darvas,T+5d,46.25482820428669,110.0,0.3824097077425944,0.3102318831500837,0.4545875323351051,110.42065067851685
EBF,darvas,T+5d,46.25482820428669,21.655000686645508,0.3768525356161799,0.24089585496238342,0.5128092162699763,21.736608105820835
GRMN,darvas,T+5d,46.25482820428669,238.75,0.3721250662603772,0.057995310183574844,0.6862548223371796,239.63844859569667
ARZTF,darvas,T+5d,46.25482820428669,62.68000030517578,0.35221237419947987,0.2858098604575312,0.41861488794142854,62.90076702239889
OZVN,darvas,T+5d,46.25482820428669,2.5,0.347593802531306,0.28200764088775415,0.41317996417485786,2.508689845063283
ERELY,darvas,T+5d,46.25482820428669,9.0,0.34382484937140706,0.2788887441421782,0.40876095460063594,9.030944236443426
PCYN,darvas,T+5d,46.25482820428669,0.20100000500679016,0.3353097286645241,0.2717903143333241,0.39882914299572403,0.20167397757819414
VMD,darvas,T+5d,46.25482820428669,11.760000228881836,0.334181633455717,0.17335097613538936,0.49501229077604464,11.799299989741108
XZJCF,darvas,T+5d,46.25482820428669,130.4199981689453,0.33374608911992365,0.27047220201846134,0.39701997622138596,130.85526981226442
JJETF,darvas,T+5d,46.25482820428669,8.0,0.3328155157001847,0.26969696438901597,0.3959340670113534,8.026625241256015
HOVVB,golden_cross,T+5d,45.96946564885496,110.0,0.3824097077425944,0.3102318831500837,0.4545875323351051,110.42065067851685
EBF,golden_cross,T+5d,45.96946564885496,21.655000686645508,0.3768525356161799,0.24089585496238342,0.5128092162699763,21.736608105820835
GRMN,golden_cross,T+5d,45.96946564885496,238.75,0.3721250662603772,0.057995310183574844,0.6862548223371796,239.63844859569667
ARZTF,golden_cross,T+5d,45.96946564885496,62.68000030517578,0.35221237419947987,0.2858098604575312,0.41861488794142854,62.90076702239889
OZVN,golden_cross,T+5d,45.96946564885496,2.5,0.347593802531306,0.28200764088775415,0.41317996417485786,2.508689845063283
ERELY,golden_cross,T+5d,45.96946564885496,9.0,0.34382484937140706,0.2788887441421782,0.40876095460063594,9.030944236443426
PCYN,golden_cross,T+5d,45.96946564885496,0.20100000500679016,0.3353097286645241,0.2717903143333241,0.39882914299572403,0.20167397757819414
XZJCF,golden_cross,T+5d,45.96946564885496,130.4199981689453,0.33374608911992365,0.27047220201846134,0.39701997622138596,130.85526981226442
JJETF,golden_cross,T+5d,45.96946564885496,8.0,0.3328155157001847,0.26969696438901597,0.3959340670113534,8.026625241256015
XAKJ,golden_cross,T+5d,45.96946564885496,0.009060000069439411,0.3308670636099086,0.26805697258427197,0.3936771546355452,0.009089976625632223
HOVVB,new_highs,T+5d,47.52293058543766,110.0,0.3824097077425944,0.3102318831500837,0.4545875323351051,110.42065067851685
EBF,new_highs,T+5d,47.52293058543766,21.655000686645508,0.3768525356161799,0.24089585496238342,0.5128092162699763,21.736608105820835
GRMN,new_highs,T+5d,47.52293058543766,238.75,0.3721250662603772,0.057995310183574844,0.6862548223371796,239.63844859569667
ARZTF,new_highs,T+5d,47.52293058543766,62.68000030517578,0.35221237419947987,0.2858098604575312,0.41861488794142854,62.90076702239889
OZVN,new_highs,T+5d,47.52293058543766,2.5,0.347593802531306,0.28200764088775415,0.41317996417485786,2.508689845063283
ERELY,new_highs,T+5d,47.52293058543766,9.0,0.34382484937140706,0.2788887441421782,0.40876095460063594,9.030944236443426
PCYN,new_highs,T+5d,47.52293058543766,0.20100000500679016,0.3353097286645241,0.2717903143333241,0.39882914299572403,0.20167397757819414
VMD,new_highs,T+5d,47.52293058543766,11.760000228881836,0.334181633455717,0.17335097613538936,0.49501229077604464,11.799299989741108
XZJCF,new_highs,T+5d,47.52293058543766,130.4199981689453,0.33374608911992365,0.27047220201846134,0.39701997622138596,130.85526981226442
JJETF,new_highs,T+5d,47.52293058543766,8.0,0.3328155157001847,0.26969696438901597,0.3959340670113534,8.026625241256015
EBF,roce_plus,T+21d,50.166746069556936,21.655000686645508,1.857668717088679,1.5286263792099883,2.1867110549673696,22.05727886008666
PRIM,roce_plus,T+21d,50.166746069556936,87.3499984741211,1.3000492041146225,0.7743975688851498,1.8257008393440954,88.48559143407803
CRUS,roce_plus,T+21d,50.166746069556936,143.3300018310547,1.1124180060244153,0.7587311385233526,1.466104873525478,144.92443057945846
GRMN,roce_plus,T+21d,50.166746069556936,238.75,1.1049953280110858,0.5739542051688861,1.6360364508532856,241.38817634562648
VMD,roce_plus,T+21d,50.166746069556936,11.760000228881836,1.0929182774703758,0.7037281203530891,1.4821084345876625,11.888527420813844
CQP,roce_plus,T+21d,50.166746069556936,61.59000015258789,1.0689149793998578,0.6670092184570982,1.4708207403426174,62.24834489003129
MNST,roce_plus,T+21d,50.166746069556936,97.87000274658203,0.9475282329232548,0.6340612409712241,1.2609952248752856,98.79734865416866
CPRX,roce_plus,T+21d,50.166746069556936,31.450000762939453,0.9202247205515904,0.611590491157677,1.2288589499455038,31.739411444573687
TT,roce_plus,T+21d,50.166746069556936,471.2900085449219,0.9201264498638313,0.5751648037396877,1.265088095987975,475.62647256910924
FAST,roce_plus,T+21d,50.166746069556936,48.349998474121094,0.9142314110163412,0.5696593139625681,1.2588035080701143,48.79202934739743
GRMN,graham_10y,T+5d,44.52289691345572,238.75,0.3721250662603772,0.057995310183574844,0.6862548223371796,239.63844859569667
OPHC,graham_10y,T+5d,44.52289691345572,5.815000057220459,0.256840627383908,0.17552859812338412,0.3381526566444319,5.829935339849799
ESCA,graham_10y,T+5d,44.52289691345572,19.209999084472656,0.24252624104295412,0.16185521648130835,0.3231972656045999,19.256588373156614
CPF,graham_10y,T+5d,44.52289691345572,38.599998474121094,0.24080739321616074,0.10380632731290265,0.37780845911941885,38.692950124228105
CVLG,graham_10y,T+5d,44.52289691345572,44.31999969482422,0.208053675340682,0.12796926361740651,0.2881380870639575,44.41220908310029
DMLP,graham_10y,T+5d,44.52289691345572,25.350000381469727,0.20597151623172574,0.12587865765698383,0.2860643748064676,25.402214161620186
NECB,graham_10y,T+5d,44.52289691345572,28.049999237060547,0.19442935374694953,0.10524271111639012,0.28361599637750895,28.104536669303187
TROX,graham_10y,T+5d,44.52289691345572,6.230000019073486,0.1805479062323355,0.09994923052844178,0.2611465819362292,6.241248153666198
MX,graham_10y,T+5d,44.52289691345572,4.150300025939941,0.17396821616333288,0.07173539064737376,0.276201041679292,4.157520228860496
PGC,graham_10y,T+5d,44.52289691345572,47.720001220703125,0.17184482483700556,0.08306316832723441,0.2606264813467767,47.80200557321306
