year,selection,weighting,port_ret,bench_ret,excess_ret,beat_spy
2019,random,equal,32.59212532114024,31.087482,1.5046428687476592,True
2019,random,max_sharpe,24.302828252080797,31.087482,-6.784654200311781,False
2019,bandit,equal,38.51042051271729,31.087482,7.422938060324711,True
2019,bandit,max_sharpe,69.0882605514185,31.087482,38.00077809902592,True
2020,random,equal,42.75994701298132,17.235231,25.52471561344519,True
2020,random,max_sharpe,19.26736469514607,17.235231,2.0321332956099383,True
2020,bandit,equal,42.26576323742353,17.235231,25.030531837887395,True
2020,bandit,max_sharpe,25.092117010826833,17.235231,7.8568856112907,True
2021,random,equal,31.82279570315461,30.505444,1.3173521301565643,True
2021,random,max_sharpe,8.440633547280246,30.505444,-22.0648100257178,False
2021,bandit,equal,16.072989573360232,30.505444,-14.432453999637815,False
2021,bandit,max_sharpe,-31.41981625937812,30.505444,-61.92525983237617,False
2022,random,equal,-9.223488570786579,-18.646408,9.422919510268109,True
2022,random,max_sharpe,-12.155055879636413,-18.646408,6.491352201418275,True
2022,bandit,equal,-25.17791839997826,-18.646408,-6.531510318923573,False
2022,bandit,max_sharpe,-33.5530076934335,-18.646408,-14.906599612378812,False
2023,random,equal,23.95887837949933,26.709223,-2.7503444140797733,False
2023,random,max_sharpe,16.838462226446097,26.709223,-9.870760567133004,False
2023,bandit,equal,19.995730327938066,26.709223,-6.7134924656410355,False
2023,bandit,max_sharpe,21.89389646993036,26.709223,-4.8153263236487405,False
2024,random,equal,18.839913377849772,25.589312,-6.749398221881673,False
2024,random,max_sharpe,36.399914981860945,25.589312,10.8106033821295,True
2024,bandit,equal,14.273814814573015,25.589312,-11.31549678515843,False
2024,bandit,max_sharpe,24.07214558821069,25.589312,-1.5171660115207537,False
2025,random,equal,17.1372091728608,18.009018,-0.8718087714751377,False
2025,random,max_sharpe,17.897341079825782,18.009018,-0.11167686451015513,False
2025,bandit,equal,7.753893036411874,18.009018,-10.255124907924063,False
2025,bandit,max_sharpe,17.59694305953603,18.009018,-0.4120748847999067,False
