effect,coef,se,p,horizon,n,p_fdr
peg_value:roic_value,-5.096677931093388,1.7400593696980875,0.003400267360280536,xret_T+126d,55410,0.04128896080340651
new_highs:eps_growth,3.845270472360964,1.3155502626913211,0.00346746722491431,xret_T+126d,55410,0.04172043898469958
capacity_expansion:operating_margin,-3.123926442723274,1.0703064285810964,0.00351470015021122,xret_T+126d,55410,0.0420150859916133
pead_positive_surprise:eps_growth,6.373631338627687,2.1874668030312945,0.0035716809343914148,xret_T+126d,55410,0.0420150859916133
new_highs:roic_value,3.412631364708972,1.187593224669776,0.004058620979166257,xret_T+126d,55410,0.04629639082295709
golden_cross:fcf_margin,-2.445899298401036,0.8662073195445926,0.004747455975773677,xret_T+126d,55410,0.05300655294984593
below_200dma:eps_growth,-4.659953052818807,1.670925293615474,0.005289623732392578,xret_T+126d,55410,0.05783468271723836
eps_growth,-9.192298058253186,3.3967368987125623,0.006805510769403011,xret_T+126d,55410,0.069505894873554
golden_cross:ev_ebitda_value,2.7686318685828764,1.0255672849941584,0.006942076750758427,xret_T+126d,55410,0.07062691983879713
pb_value:peg_value,-3.6833358111450614,1.4152647465728325,0.00925259716190077,xret_T+126d,55410,0.08829639190073514
capacity_expansion:net_debt_ebitda,-2.308453266637227,0.9061111251875573,0.01084514720677579,xret_T+126d,55410,0.1006231087670923
golden_cross:sloan_quality,1.8487908620792433,0.7270153462269714,0.0109909193721079,xret_T+126d,55410,0.10090966043729727
graham_10y:fcf_yield,2.1264482700872955,0.8359508124566948,0.010967015013354467,xret_T+126d,55410,0.10090966043729727
sloan_quality:not_distress,2.793128193501624,1.1132456020132502,0.012107503059128642,xret_T+126d,55410,0.10741841939664637
net_margin,6.353060986638505,2.5617550566619203,0.013139555181057196,xret_T+126d,55410,0.11426642871975483
golden_cross:not_distress,2.2549996702899975,0.9126046114914319,0.013475494502976583,xret_T+126d,55410,0.11641943611587965
reversal_weekly:net_margin,-4.7175236127853415,1.9467853190336144,0.015382856901532953,xret_T+126d,55410,0.1304359690420018
small_cap_growth:reversal_monthly,14.484586118794372,5.994285498504267,0.015674869672689253,xret_T+126d,55410,0.1315391133361025
pb_value:eps_growth,3.6224833394350737,1.5191367157943114,0.01709923224039751,xret_T+126d,55410,0.14092819255647912
ev_ebitda_value:low_beta,2.3764212372529814,1.0226788956021664,0.020140409650879605,xret_T+126d,55410,0.15841784904497838
golden_cross:piotroski,-2.4300406358897764,1.0474908486542511,0.02034801211364308,xret_T+126d,55410,0.15899573728127972
piotroski:net_margin,3.1396265256563107,1.3558590420694638,0.020580145947509152,xret_T+126d,55410,0.15949613109319594
below_200dma:pb_value,2.718674186750774,1.1855460731020433,0.02183746727047896,xret_T+126d,55410,0.16727246005148855
