Symbol,roce,f_score,earnings_yield,sloan_ratio,market_cap,fy_end,filed
TASK,0.15845111684003677,7.88,0.2914453400140509,-0.03325196404524323,452831432.6682329,2025-12-31 00:00:00,2026-03-05 00:00:00
NUTX,0.36237171548249175,7.0,0.2268636389160449,-0.19306605699354945,1358000872.7264404,2025-12-31 00:00:00,2026-03-05 00:00:00
GPOR,0.22532154132687468,7.0,0.15225461892939388,-0.12390758993114466,3157177954.1015625,2025-12-31 00:00:00,2026-02-25 00:00:00
VRRM,0.16611866056578756,9.0,0.1459245371000261,-0.07241401940374147,671044072.426796,2025-12-31 00:00:00,2026-02-24 00:00:00
UHS,0.16227346176657667,7.88,0.13415053306941396,-0.024189261014247346,10249257005.966187,2025-12-31 00:00:00,2026-02-25 00:00:00
